Name,Email,Email (HOS),Tele-Phone,Phone,Distance (km),Type,Contact Page
Vishwas Nagar - SKV,1001196@delhi.gov.in,,,,1.4,Aided,
Rajkiya Sarvodaya Bal Vidyalaya,1001006@delhi.gov.in,1001006hos@gmail.com,011-22370894,9868539209,1.5,Aided,
Vivek Vihar-SBV (evening),1001002@delhi.gov.in,meet2alok77@gmail.com,22160252,,1.5,Aided,
Vivek Vihar-SKV,1001196@delhi.gov.in,1001196hos@gmail.com,,,2,Aided,
PM SHRI Kendriya Vidyalaya AGCR Colony,pmshrikvagcrolony@kvsrodelhi.in,,011-22374384,,2.4,Aided,https://agcrcolony.kvs.ac.in/contact-us/
Anand Vihar-SKV,1001009@delhi.gov.in,vskv80@yahoo.com,,,2.8,Aided,
Babu Ram Government Sarvodaya Bal Vidyalaya,1001001@delhi.gov.in,1001001hos@gmail.com,22304026,,3.1,Aided,http://www.edudel.nic.in/mis/schoolplant/school_information.htm
Kiran Vihar- SKV,,1001106hos@gmail.com,,,,Aided,
Bhai Parmanand Vidya Mandir,info@bvmschool.in,,011 - 41254346,41254347,1.5,Unaided,
Bharat National Public School,admission@bnpsramvihar.edu.in,,011-43086628,9310353898,1.6,Unaided,
Modern Public School,,,,,1.6,Unaided,
Laxmi Public School,laxmipublicsrsecschool@gmail.com,,011-22376937,8595592228,2.5,Unaided,https://www.laxmipublicschool.edu.in/contact-us
Vivekanand School,info@vivekanandschool.in,,"46516983,  41055675",,2.6,Unaided,http://vivekanandschool.in/
RPM Lovely Public Senior Secondary School,lpschoolnlp@gmail.com,,"11 46036232, 41026232",,3.2,Unaided,https://www.lpsnlp.in/
Bal Mandir Sr. Sec. School,principalbalmandir@gmail.com,,"011-22548371, 61378417",,4.3,Unaided,https://balmandirschool.com/contact-us/
St. Andrews Scots School,standrewsjagatpuri@gmail.com,,011-22541077,"8882257735 , 9625925363",4.4,Unaided,https://standrewsscots.com/contact-us/
Sneh International School,sneh@snehinternationalschool.com,,011-22016772,9871012444,4.6,Unaided,https://www.snehinternationalschool.com/sneh-seniour/contact.aspx
Bharti Public School,​info.sv@bps.edu.in,,,,4.9,Unaided,https://www.bps.edu.in/contact
